 vector size (bytes) ,time (s)
       71101 ,  9.679794311523438E-005
       71201 ,  1.080036163330078E-004
       71301 ,  1.299381256103516E-004
       71401 ,  1.118183135986328E-004
       71501 ,  1.060962677001953E-004
       71601 ,  1.130104064941406E-004
       71701 ,  1.029968261718750E-004
       71801 ,  1.060962677001953E-004
       71901 ,  1.318454742431641E-004
       72001 ,  1.051425933837891E-004
       72101 ,  9.989738464355469E-005
       72201 ,  1.149177551269531E-004
       72301 ,  1.111030578613281E-004
       72401 ,  1.170635223388672E-004
       72501 ,  1.330375671386719E-004
       72601 ,  1.058578491210938E-004
       72701 ,  1.080036163330078E-004
       72801 ,  1.149177551269531E-004
       72901 ,  1.080036163330078E-004
       73001 ,  1.180171966552734E-004
       73101 ,  1.280307769775391E-004
       73201 ,  1.058578491210938E-004
       73301 ,  1.118183135986328E-004
       73401 ,  1.051425933837891E-004
       73501 ,  1.101493835449219E-004
       73601 ,  1.068115234375000E-004
       73701 ,  1.029968261718750E-004
       73801 ,  1.020431518554688E-004
       73901 ,  1.089572906494141E-004
       74001 ,  1.339912414550781E-004
       74101 ,  1.101493835449219E-004
       74201 ,  1.051425933837891E-004
       74301 ,  2.372264862060547E-004
       74401 ,  1.101493835449219E-004
       74501 ,  1.728534698486328E-004
       74601 ,  1.089572906494141E-004
       74701 ,  1.111030578613281E-004
       74801 ,  1.108646392822266E-004
       74901 ,  1.111030578613281E-004
       75001 ,  1.370906829833984E-004
       75101 ,  1.099109649658203E-004
       75201 ,  1.049041748046875E-004
       75301 ,  1.170635223388672E-004
       75401 ,  1.149177551269531E-004
       75501 ,  1.270771026611328E-004
       75601 ,  1.318454742431641E-004
       75701 ,  1.089572906494141E-004
       75801 ,  1.130104064941406E-004
       75901 ,  1.039505004882812E-004
       76001 ,  1.170635223388672E-004
       76101 ,  1.389980316162109E-004
       76201 ,  1.111030578613281E-004
       76301 ,  1.089572906494141E-004
       76401 ,  1.149177551269531E-004
       76501 ,  1.149177551269531E-004
       76601 ,  1.280307769775391E-004
       76701 ,  1.339912414550781E-004
       76801 ,  1.089572906494141E-004
       76901 ,  1.151561737060547E-004
       77001 ,  1.041889190673828E-004
       77101 ,  1.130104064941406E-004
